document_id,title,extraction_type,extracted_value,confidence,tags,created_at
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_FINDING,"The document contains multiple customer testimonials highlighting personal growth, leadership development, decision-making improvements, and enhanced relationships.",0.85,WE_PROJECTS|FOUNDATION|gpt5,2025-08-13T16:04:05.240Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_FINDING,"Activ8's programs are perceived as impactful, life-changing, and effective in fostering self-awareness, confidence, and strategic thinking.",0.85,WE_PROJECTS|FOUNDATION|gpt5,2025-08-13T16:04:05.244Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_FINDING,"Testimonials emphasize the value of experiential learning, especially in areas like fear management, communication, and personal balance.",0.85,WE_PROJECTS|FOUNDATION|gpt5,2025-08-13T16:04:05.245Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_CONCEPT,Leadership development,0.9,WE_PROJECTS|FOUNDATION|concept|gpt5,2025-08-13T16:04:05.246Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_CONCEPT,Personal transformation,0.9,WE_PROJECTS|FOUNDATION|concept|gpt5,2025-08-13T16:04:05.247Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_CONCEPT,Decision-making enhancement,0.9,WE_PROJECTS|FOUNDATION|concept|gpt5,2025-08-13T16:04:05.247Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,FOUNDATION_CONCEPT,Self-awareness and emotional intelligence,0.9,WE_PROJECTS|FOUNDATION|concept|gpt5,2025-08-13T16:04:05.248Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_FINDING,"The document features strong testimonials emphasizing personal growth, leadership enhancement, and improved decision-making attributed to Activ8 programs.",0.85,WE_PROJECTS|STRATEGIC|gpt5,2025-08-13T16:04:09.970Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_FINDING,"Common themes include overcoming fear, gaining self-awareness, improving communication, and transitioning to strategic roles within organizations.",0.85,WE_PROJECTS|STRATEGIC|gpt5,2025-08-13T16:04:09.971Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_FINDING,"Participants report positive impacts not only professionally but also in personal relationships, highlighting holistic development.",0.85,WE_PROJECTS|STRATEGIC|gpt5,2025-08-13T16:04:09.972Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Leadership development,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.973Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Personal transformation,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.973Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Decision-making improvement,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.974Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Self-awareness,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.974Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Emotional intelligence,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.974Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Fear management,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.975Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,STRATEGIC_CONCEPT,Strategic thinking,0.9,WE_PROJECTS|STRATEGIC|concept|gpt5,2025-08-13T16:04:09.975Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_FINDING,"The document demonstrates that Activ8’s implementation methodology is experiential and deeply personalized, driving both professional and personal transformation among participants.",0.85,WE_PROJECTS|IMPLEMENTATION|gpt5,2025-08-13T16:04:15.719Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_FINDING,"A recurring implementation pattern involves facilitating self-awareness and fear identification, which supports improved decision-making, communication, and strategic thinking.",0.85,WE_PROJECTS|IMPLEMENTATION|gpt5,2025-08-13T16:04:15.795Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_FINDING,"The delivery approach leverages a unique packaging of common-sense principles, making them actionable and memorable through interactive sessions, direct coaching, and goal-setting exercises.",0.85,WE_PROJECTS|IMPLEMENTATION|gpt5,2025-08-13T16:04:15.813Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Experiential learning,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.844Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Self-awareness facilitation,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.870Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Fear management,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.878Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Strategic role evolution,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.905Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Personal and professional integration,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.927Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,IMPLEMENTATION_CONCEPT,Interactive coaching methods,0.9,WE_PROJECTS|IMPLEMENTATION|concept|gpt5,2025-08-13T16:04:15.952Z
